N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto,Cancelada
548370,2021-03-30 16:14:00,15528.0,United Kingdom,123.0,229.33,0
575767,2021-11-11 11:11:00,17348.0,United Kingdom,163.0,209.73,0
C570727,2021-10-12 11:32:00,12471.0,Germany,,,1
549106,2021-04-06 12:08:00,17045.0,United Kingdom,1.0,39.95,0
573112,2021-10-27 15:33:00,16416.0,United Kingdom,357.0,344.83,0
576630,2021-11-16 08:38:00,13816.0,Germany,91.0,199.98,0
538125,2020-12-09 15:46:00,18225.0,United Kingdom,16.0,30.0,0
544354,2021-02-18 10:42:00,13489.0,United Kingdom,64.0,77.28,0
546369,2021-03-11 11:41:00,15513.0,United Kingdom,10.0,67.5,0
570651,2021-10-11 13:34:00,14911.0,EIRE,86.0,321.35,0
C543628,2021-02-10 15:51:00,16558.0,United Kingdom,,,1
539736,2020-12-21 15:18:00,Cliente_generico,United Kingdom,143.0,1172.46,0
537823,2020-12-08 14:25:00,Cliente_generico,United Kingdom,1484.0,6073.71,0
575581,2021-11-10 11:53:00,12659.0,France,105.0,91.68,0
580987,2021-12-06 16:35:00,17389.0,United Kingdom,96.0,720.0,0
543754,2021-02-11 14:26:00,18159.0,United Kingdom,139.0,530.15,0
542418,2021-01-27 17:39:00,Cliente_generico,United Kingdom,,,0
C553508,2021-05-17 13:44:00,14000.0,United Kingdom,,,1
563233,2021-08-14 15:56:00,17988.0,United Kingdom,1.0,2.95,0
545417,2021-03-02 13:42:00,15622.0,United Kingdom,222.0,576.0,0
C577693,2021-11-21 11:48:00,12628.0,Germany,,,1
550759,2021-04-20 12:09:00,Cliente_generico,United Kingdom,,,0
C547309,2021-03-22 11:17:00,17416.0,United Kingdom,,,1
556427,2021-06-10 13:23:00,Cliente_generico,United Kingdom,92.0,435.69,0
C555404,2021-06-02 18:28:00,17231.0,United Kingdom,,,1
576571,2021-11-15 13:48:00,12950.0,United Kingdom,164.0,311.6,0
550623,2021-04-19 13:56:00,13719.0,United Kingdom,78.0,132.9,0
576083,2021-11-14 08:22:00,17404.0,Sweden,1060.0,1238.48,0
562417,2021-08-04 16:32:00,Cliente_generico,United Kingdom,526.0,1691.38,0
570733,2021-10-12 11:33:00,17190.0,United Kingdom,160.0,249.74,0
537026,2020-12-03 16:35:00,12395.0,Belgium,528.0,346.1,0
552837,2021-05-11 14:24:00,12901.0,United Kingdom,72.0,140.04,0
C579925,2021-12-01 09:16:00,15544.0,United Kingdom,,,1
550535,2021-04-19 11:19:00,14211.0,United Kingdom,72.0,155.6,0
